Name,Description,Attribute,GrowthFunction,Base,Weight,Decimals,Hidden,Percent,Display
Evade,Your ability to dodge enemy attacks. Gives a bonus chance for enemies to miss their close combat attacks.,Quickness,linear,0,2,0,-,TRUE,Defence
Explorer,Reveals additional optional tasks which can be performed while exploring.,Survivalism,linear,0,1,0,-,FALSE,Exploration
Faith,Adds a bonus to how effective your spells are.,Divinity,linear,0,5,0,-,TRUE,Mental
Fatigue,Reduces the speed at which you become exhausted in combat.,Resilience,linear,0,5,0,-,FALSE,Defence
First strike,Increases the likelihood that you will attack first in combat.,Quickness,linear,0,3.5,1,-,FALSE,Offence
Flame damage,How much flame damage you do per attack,None,linear,0,0,0,TRUE,TRUE,Offence
Flee,Increases the chance that you can successful escape from a battle.,Quickness,linear,0,10,0,-,FALSE,Defence
Freezing chance,Likelihood that an enemy is frozen after being attacked.,None,linear,0,0,0,TRUE,TRUE,Offence
Frost damage,How much frost damage you do per attack,None,linear,0,0,0,TRUE,FALSE,Offence
Health,Determines the number of health points you have. When your health reahes zero then you fall unconscious.,Vitality,linear,5,1,0,-,FALSE,Basic
Huntsman,The amount of information that you can learn from defeated enemies.,Survivalism,linear,0,1,0,-,FALSE,Exploration
Killshot,Damage multiplier added when performing a critical hit.,Agility,linear,1,10,0,-,FALSE,Offence
Knowledge,UNUSED,Intellect,linear,0,0,0,-,FALSE,Mental
Lifesteal percent,Amount of life stolen per hit as percent of damage dealt,None,linear,0,0,0,TRUE,TRUE,Offence
Lifesteal static,Amount of life stolen per hit,None,linear,0,0,0,TRUE,FALSE,Offence
Literacy,UNUSED,Intellect,linear,0,0,0,-,FALSE,Mental
Logistics,UNUSED,Pathfinding,linear,0,0,0,-,FALSE,Exploration
Luck,A bonus chance of having incredibly good luck.,Fortuity,linear,0,1,0,-,TRUE,Modifier
Mountaineering,UNUSED,Pathfinding,linear,0,0,0,-,FALSE,Exploration
Navigator,UNUSED,Pathfinding,linear,0,0,0,-,FALSE,Exploration
Oration,UNUSED,Charisma,linear,0,0,0,-,FALSE,Interaction
Parry,The likelihood that you can parry an incoming attack.,Quickness,linear,0,2,0,-,TRUE,Defence
Pickpocketing,Increases the chance that you will successfully pickpocket someone.,Agility,linear,0,5,0,-,TRUE,Stealth
Piercing,Skill with piercing weapons,None,linear,0,0,0,TRUE,TRUE,Weaponry
Piety,How quickly you are able to gain the devotion of a god.,None,linear,0,2,0,FALSE,TRUE,Mental
Poison amount,Amount of damage enemy takes from poison each turn. Poison generally lasts for 2 rounds unless reapplied.,None,linear,0,0,0,TRUE,FALSE,Offence
Poison chance,Likelihood that a poisoned attack will inflict the enemy with poison.,None,linear,0,0,0,TRUE,TRUE,Offence
Poison duration,How many turns an enemy is poisoned for.,None,linear,0,0,0,TRUE,FALSE,Offence
Potion effectiveness,Modifier for how effective potions are.,None,linear,0,0,0,TRUE,TRUE,Modifier
Precision,Chance to critically hit enemies. A critical hit always hits for maximum damage and then applies your killshot multiplier to that value.,Agility,linear,0,1,0,-,TRUE,Offence
Recovery,How quickly you recover from poisons and the negative effects of different ailments.,Vitality,linear,0,10,0,-,TRUE,Defence
Redemption,For each two levels of redemption you recover one sanctity each day.,Divinity,linear,0,0.5,0,-,FALSE,Mental
Regeneration,For each two levels of regeneration you recover one additional health each day.,Vitality,linear,1,0.5,0,-,FALSE,Defence
Renown,How famous you are,None,linear,0,0,0,TRUE,FALSE,Basic
Reputation,The magnitutde of which your actions affect your renown.,Charisma,linear,0,5,0,-,TRUE,Modifier
Resist blunt,Ability to resist blunt damage,Resilience,linear,0,3,0,-,TRUE,Defence
Resist flame,Ability to resist flame damage,Resilience,linear,0,3,0,-,TRUE,Defence
Resist frost,Ability to resist frost damage,Resilience,linear,0,3,0,-,TRUE,Defence
Resist holy,Ability to resist holy damage,Divinity,linear,0,3,0,-,TRUE,Defence
Resist piercing,Ability to resist piercing damage,Resilience,linear,0,3,0,-,TRUE,Defence
Resist poison,Ability to resist poison damage,Resilience,linear,0,3,0,-,TRUE,Defence
Resist shadow,Ability to resist shadow damage,Resilience,linear,0,3,0,-,TRUE,Defence
Resist slashing,Ability to resist slashing damage,Resilience,linear,0,3,0,-,TRUE,Defence
Resist unarmed,Ability to resist blunt damage,Resilience,linear,0,3,0,-,TRUE,Defence
Riposte,UNUSED,Agility,linear,0,0,0,-,FALSE,Defence
Sanctity,Amount of sanctity you can have.,Divinity,linear,0,1,0,-,FALSE,Basic
Sanity,Your ability to resist mind altering affects.,Willpower,linear,0,3,0,-,TRUE,Mental
Slashing,Skill with slashing weapons,None,linear,0,0,0,TRUE,TRUE,Weaponry
Speed,How quickly you can attack in combat.,Quickness,linear,0.5,0.03,3,-,FALSE,Offence
Spell limit,How many spells you may know.,None,linear,0,0,0,TRUE,FALSE,Mental
Staff,Skill with staves,None,linear,0,0,0,TRUE,TRUE,Weaponry
Stamina,For each four levels of stamina you recover one additional endurance each day.,Resilience,linear,1,0.25,0,-,FALSE,Exploration
Stealth,Chance to avoid detection when attempting to stay concealed.,Agility,linear,0,2,0,-,TRUE,Stealth
Storage,The amount of weight that you can carry.,Brawn,linear,10,3,0,-,FALSE,Basic
Strength,Your capability of inflicting damage through melee. This is added to your combat skill and determines the greatest posssible damage you can deal in a single blow.,Brawn,linear,1,2,0,-,FALSE,None
Survivalist,UNUSED,Survivalism,linear,0,0,0,-,FALSE,Exploration
Sword,Skill with swords,None,linear,0,0,0,TRUE,TRUE,Weaponry
Thawing chance,Likelihood that you will thaw each round in combat if frozen.,None,linear,50,0,0,TRUE,TRUE,Defence
Trustworthiness,UNUSED,Charisma,linear,0,0,0,-,FALSE,Interaction
Unarmed,Skill with using your bare hands,None,linear,0,0,0,TRUE,TRUE,Weaponry
Understanding,How much more quickly you level up.,Intellect,linear,0,1,0,-,TRUE,Modifier
Virtue,How good or evil you are,None,linear,0,0,0,TRUE,FALSE,Basic
Vision,How much of the map is revealed.,None,linear,0,0,0,TRUE,FALSE,Exploration
Weapon affinity,How accustomed to your current weapon you are,None,linear,0,0,0,TRUE,TRUE,Weaponry
Woodsman,Modifier for forest movement.,Pathfinding,linear,1,1,0,-,FALSE,Exploration
